ID	Date House was Sold	Sale Price	No of Bedrooms	No of Bathrooms	Flat Area (in Sqft)	Lot Area (in Sqft)	No of Floors	Waterfront View	No of Times Visited	Condition of the House	Overall Grade	Area of the House from Basement (in Sqft)	Basement Area (in Sqft)	Age of House (in Years)	Renovated Year	Zipcode	Latitude	Longitude	Living Area after Renovation (in Sqft)	Lot Area after Renovation (in Sqft)
2078500320	14 June 2017	605000	4	2.5	2620	7553	2	No	None	Fair	8	2620	0	22	0	98056	47.5301	-122.18	2620	11884
5547700270	14 July 2017	625000	4	2.5	2570	5520	2	No	None	Fair	9	2570	0	18	0	98074	47.6145	-122.027	2470	5669
7766200013	14 August 2017	775000	4	2.25	4220	24186	1	No	None	Fair	8	2600	1620	34	0	98166	47.445	-122.347	2410	30617
7203220400	14 July 2017	861990	5	2.75	3595	5639	2	No	None	Fair	9	3595	0	4	0	98053	47.6848	-122.016	3625	5639
9270200160	14 October 2017	685000	3	1	1570	2280	2	No	None	Fair	7	1570	0	96	0	98119	47.6413	-122.364	1580	2640
1432701230	14 July 2017	309000	3	1	1280	9656	1	No	None	Good	6	920	360	59	0	98058	47.4485	-122.175	1340	8808
8035350320	14 July 2017	488000	3	2.5	3160	13603	2	No	None	Fair	8	3160	0	15	0	98019	47.7443	-121.977	3050	9232
8945200830	15 March 2016	210490	3	1	990	8528	1	No	None	Fair	6	990	0	52	0	98023	47.3066	-122.371	1228	8840
4178300310	14 July 2017	785000	4	2.5	2290	13416	2	No	None	Good	9	2290	0	37	0	98007	47.6194	-122.151	2680	13685
9215400105	15 April 2016	450000	3	1.75	1250	5963	1	No	None	Good	7	1250	0	65	0	98115	47.6796	-122.301	970	5100
822039084	15 March 2016	1.35E+06	3	2.5	2753	65005	1	Yes	Twice	Excellent	9	2165	588	65	0	98070	47.4041	-122.451	2680	72513
5245600105	14 September 2017	228000	3	1	1190	9199	1	No	None	Fair	7	1190	0	63	0	98148	47.4258	-122.322	1190	9364
7231300125	15 February 2016	345000	5	2.5	3150	9134	1	No	None	Good	8	1640	1510	52	0	98056	47.4934	-122.189	1990	9133
7518505990	14 December 2017	600000	3	1.75	1410	4080	1	No	None	Good	7	1000	410	68	0	98117	47.6808	-122.384	1410	4080
3626039271	15 February 2016	585000	2	1.75	1980	8550	1	No	None	Fair	7	990	990	37	0	98117	47.6989	-122.369	1480	6738
4217401195	15 March 2016	920000	5	2.25	2730	6000	1.5	No	None	Fair	8	2130	600	91	0	98105	47.6571	-122.281	2730	6000
9822700295	14 May 2017	885000	4	2.5	2830	5000	2	No	None	Fair	9	2830	0	23	0	98105	47.6597	-122.29	1950	5000
9478500640	14 August 2017	292500	4	2.5	2250	4495	2	No	None	Fair	7	2250	0	10	0	98042	47.3663	-122.114	2250	4500
2799800710	15 April 2016	301000	3	2.5	2420	4750	2	No	None	Fair	8	2420	0	15	0	98042	47.3663	-122.122	2690	4750
7922800400	14 August 2017	951000	5	3.25	3250	14342	2	No	Four	Good	8	3250	0	50	0	98008	47.588	-122.116	2960	11044
8079040320	15 February 2016	430000	4	3	1850	9976	2	No	None	Fair	8	1850	0	27	0	98059	47.5059	-122.149	2270	8542
1516000055	14 December 2017	650000	3	2.25	2150	21235	1	No	Thrice	Good	8	1590	560	59	0	98166	47.4336	-122.339	2570	18900
9558200045	14 August 2017	289000	3	1.75	1260	8400	1	No	None	Fair	7	1260	0	64	0	98148	47.4366	-122.335	1290	8750
5072410070	14 October 2017	505000	3	1.75	2519	8690	2	No	None	Excellent	8	2519	0	45	0	98166	47.4428	-122.344	2500	9500
9528102996	14 December 2017	549000	3	1.75	1540	1044	3	No	None	Fair	8	1540	0	4	0	98115	47.6765	-122.32	1580	3090
1189001180	14 June 2017	425000	3	2.25	1660	6000	1	No	None	Fair	7	1110	550	39	0	98122	47.6113	-122.297	1440	4080
3253500160	14 November 2017	317625	3	2.75	2770	3809	1.5	No	None	Excellent	7	1770	1000	93	0	98144	47.5747	-122.304	1440	4000
3394100030	14 September 2017	975000	4	2.5	2720	11049	2	No	None	Fair	10	2720	0	29	0	98004	47.5815	-122.192	2750	11049
3717000160	14 October 2017	287000	4	2.5	2240	4648	2	No	None	Fair	7	2240	0	13	0	98001	47.3378	-122.257	2221	4557
1274500060	14 August 2017	204000	3	1	1000	12070	1	No	None	Good	7	1000	0	50	0	98042	47.3621	-122.11	1010	12635
1802000060	14 June 2017	1.33E+06	5	2.25	3200	20158	1	No	None	Fair	8	1600	1600	53	0	98004	47.6303	-122.215	3390	20158
1525059190	14 September 2017	1.04E+06	5	3.25	4770	50094	1	No	None	Good	10	3070	1700	45	0	98005	47.6525	-122.16	3530	38917
1049000060	15 January 2016	325000	3	2	1260	5612	1	No	None	Good	7	1260	0	46	0	98034	47.7362	-122.179	1640	4745
8820901275	14 June 2017	571000	4	2	2750	7807	1.5	No	None	Excellent	7	2250	500	102	0	98125	47.7168	-122.287	1510	7807
5416510140	14 July 2017	360000	4	2.5	2380	5000	2	No	None	Fair	8	2380	0	13	0	98038	47.3608	-122.036	2420	5000
3444100400	15 March 2016	349000	3	1.75	1790	50529	1	No	None	Excellent	7	1090	700	53	0	98042	47.3511	-122.073	1940	50529
3276920270	14 November 2017	832500	4	4	3430	35102	2	No	None	Good	10	2390	1040	32	0	98075	47.5822	-121.987	3240	35020
4036801170	14 October 2017	380000	4	1.75	1760	7300	1	No	None	Fair	7	880	880	62	0	98008	47.6034	-122.125	1680	7500
2391600320	15 April 2016	480000	3	1	1040	5060	1	No	None	Fair	7	1040	0	77	0	98116	47.5636	-122.394	890	5060
6300000287	14 June 2017	410000	3	1	1410	5060	1	No	None	Good	7	910	500	62	0	98133	47.7073	-122.34	1130	5693
1531000030	15 March 2016	720000	4	2.5	3450	39683	2	No	None	Fair	10	3450	0	16	0	98010	47.342	-122.025	3350	39750
5104520400	14 December 2017	390000	3	2.5	2350	5100	2	No	None	Fair	8	2350	0	15	0	98038	47.3512	-122.008	2350	5363
7437100340	14 December 2017	360000	4	2.5	1900	5889	2	No	None	Fair	7	1900	0	26	0	98038	47.349	-122.031	1870	6405
9418400240	14 October 2017	355000	2	1	2020	6720	1	No	None	Fair	7	1010	1010	70	0	98118	47.5474	-122.291	1720	6720
1523059105	15 January 2016	356000	3	1.5	1680	8712	1	No	None	Fair	8	1680	0	54	0	98059	47.4811	-122.149	1850	8797
1133000671	14 June 2017	315000	3	1	960	6634	1	No	None	Fair	6	960	0	66	0	98125	47.7264	-122.31	1570	7203
4232902595	14 November 2017	940000	3	1.5	2140	3600	2	No	None	Fair	9	1900	240	93	0	98119	47.6337	-122.365	2020	4800
2599001200	14 November 2017	305000	5	2.25	2660	8400	1.5	No	None	Excellent	7	2660	0	57	0	98092	47.2909	-122.189	1590	8165
3342103156	14 June 2017	461000	3	3.25	2770	6278	2	No	None	Fair	9	1980	790	12	0	98056	47.5228	-122.199	1900	7349
1332700270	14 May 2017	215000	2	2.25	1610	2040	2	No	None	Good	7	1610	0	39	0	98056	47.518	-122.194	1950	2025
3869900162	14 September 2017	335000	2	1.75	1030	1066	2	No	None	Fair	7	765	265	12	0	98136	47.5394	-122.387	1030	1106
2791500270	14 May 2017		4	2.5	1980	7403	2	No	None	Fair	7	1980	0	30	0	98023	47.2897	-122.372	1980	7510
5036300431	15 March 2016	1.1E+06	5	2.75	3520	6353	2	No	None	Good	10	3520	0	17	0	98199	47.6506	-122.391	2520	6250
4168000060	15 February 2016	153000	3	1	1200	10500	1	No	None	Fair	7	1200	0	56	0	98023	47.322	-122.351	1350	10500
6021501535	14 July 2017	430000	3	1.5	1580	5000	1	No	None	Fair	8	1290	290	79	0	98117	47.687	-122.386	1570	4500
6021501535	14 December 2017	700000	3	1.5	1580	5000	1	No	None	Fair	8	1290	290	79	0	98117	47.687	-122.386	1570	4500
1483300570	14 September 2017	905000	4	2.5	3300	10250	1	No	None	Fair	7	2390	910	72	1991	98040	47.5873	-122.249	1950	6045
3422049190	15 March 2016	247500	3	1.75	1960	15681	1	No	None	Fair	7	1960	0	51	0	98032	47.3576	-122.277	1750	15616
1099611230	14 September 2017	199000	4	1.5	1160	6400	1	No	None	Good	7	1160	0	43	0	98023	47.3036	-122.378	1160	6400
722079104	14 July 2017	314000	3	1.75	1810	41800	1	No	None	Excellent	7	1210	600	38	0	98038	47.4109	-121.958	1650	135036
7338200240	14 May 2017	437500	3	2.5	2320	36847	2	No	Twice	Fair	9	2320	0	26	0	98045	47.4838	-121.714	2550	35065
1952200240	14 June 2017	850830	3	2.5	2070	13241	1.5	No	None	Excellent	9	1270	800	108	0	98102	47.6415	-122.315	2200	4500
5200100125	14 October 2017	555000	3	2	1980	3478	1.5	No	None	Good	7	1440	540	89	0	98117	47.6775	-122.372	1610	3478
7214720075	14 December 2017	699950	3	2.25	2190	107593	2	No	None	Good	8	2190	0	35	0	98077	47.7731	-122.08	2570	47777
2450000295	14 October 2017	1.09E+06	3	2.5	2920	8113	2	No	None	Fair	8	2920	0	68	2010	98004	47.5814	-122.196	2370	8113
6197800045	14 September 2017	290000	3	1	1210	33919	1	No	None	Fair	7	1210	0	64	0	98058	47.4375	-122.184	1640	14910
1328310370	15 April 2016	375000	3	2.5	2340	10005	1	No	None	Good	8	1460	880	40	0	98058	47.4431	-122.133	2250	8162
546000875	14 May 2017	460000	3	1	1670	4005	1.5	No	None	Good	7	1170	500	79	0	98117	47.6878	-122.38	1240	4005
3530510041	14 July 2017	188500	2	1.75	1240	2493	1	No	None	Good	8	1240	0	33	0	98198	47.3813	-122.322	1270	4966
1853000400	15 March 2016	680000	4	2.5	3140	28037	2	No	None	Good	10	3140	0	27	0	98077	47.7304	-122.082	2990	35001
3134100116	14 August 2017	470000	5	1.75	2030	12342	2	No	None	Good	7	2030	0	76	0	98052	47.6417	-122.109	2500	9433
9545230140	14 July 2017	597750	4	2.5	2310	9624	2	No	None	Fair	8	2310	0	34	0	98027	47.5386	-122.053	1940	9636
3362400511	15 March 2016	570000	3	1.75	1260	3328	1	No	None	Excellent	6	700	560	113	0	98103	47.6823	-122.349	1380	3536
2525310310	14 September 2017	272500	3	1.75	1540	12600	1	No	None	Good	7	1160	380	38	0	98038	47.3624	-122.031	1540	11656
6126500060	14 November 2017	329950	3	1.75	2080	5969	1	No	Twice	Fair	7	1080	1000	47	0	98108	47.5474	-122.295	2090	5500
8961960160	14 October 2017	480000	4	2.5	3230	16171	2	No	Thrice	Fair	9	2520	710	17	0	98001	47.3183	-122.253	2640	8517
3626039325	14 November 2017	740500	3	3.5	4380	6350	2	No	None	Fair	8	2780	1600	118	1999	98117	47.6981	-122.368	1830	6350
3362400431	14 June 2017	518500	3	3.5	1590	1102	3	No	None	Fair	8	1590	0	8	0	98103	47.6824	-122.347	1620	3166
4060000240	14 June 2017	205425	2	1	880	6780	1	No	None	Good	6	880	0	73	0	98178	47.5009	-122.248	1190	6780
3454800060	15 January 2016	171800	4	2	1570	9600	1	No	None	Fair	6	1570	0	68	0	98168	47.4965	-122.303	1880	9000
1695900060	15 May 2016	535000	4	1	1610	2982	1.5	No	None	Good	7	1610	0	93	0	98144	47.587	-122.294	1610	4040
7278700070	15 January 2016	660000	3	2.5	2400	6474	1	No	Twice	Fair	8	1560	840	54	0	98177	47.7728	-122.386	2340	10856
6675500070	14 November 2017	391500	3	2	1450	9132	1	No	None	Fair	7	1450	0	31	0	98034	47.7288	-122.226	1580	9104
3626039187	15 April 2016	395000	2	1	770	6000	1	No	None	Fair	6	770	0	65	0	98117	47.6999	-122.364	1710	6000
3524049083	14 November 2017	445000	4	1.75	2100	4400	1.5	No	None	Excellent	7	1720	380	94	0	98118	47.5299	-122.266	1850	4400
3275860240	14 June 2017	770000	3	2.25	2910	10204	2	No	None	Fair	9	2910	0	28	0	98052	47.6897	-122.098	2700	13992
4389200955	15 March 2016	1.45E+06	4	2.75	2750	17789	1.5	No	None	Fair	8	1980	770	104	1992	98004	47.6141	-122.212	3060	11275
4058801670	14 July 2017	445000	3	2.25	2100	8201	1	No	Twice	Fair	8	1620	480	51	0	98178	47.5091	-122.244	2660	8712
8732020310	14 July 2017	260000	4	2.25	2160	8811	1	No	None	Fair	8	1360	800	40	0	98023	47.3129	-122.39	2090	8400
2331300505	14 June 2017	822500	5	3.5	2320	4960	2	No	None	Excellent	7	1720	600	92	0	98103	47.6763	-122.352	1700	4960
7853210060	15 April 2016	430000	4	2.5	2070	4310	2	No	None	Fair	7	2070	0	14	0	98065	47.5319	-121.85	1970	3748
3668000070	15 January 2016	212000	3	1.75	1060	7875	1	No	None	Good	7	1060	0	32	0	98092	47.2761	-122.152	1420	7680
9545240070	15 April 2016	660500	4	2.25	2010	9603	1	No	None	Fair	8	1440	570	32	0	98027	47.5343	-122.054	2060	9793
1243100136	14 June 2017	784000	3	3.5	3950	111078	1.5	No	None	Fair	9	2460	1490	29	0	98052	47.697	-122.072	2480	88500
8929000270	14 May 2017	453246	3	2.5	2010	2287	2	No	None	Fair	8	1390	620	4	0	98029	47.5517	-121.998	1690	1662
2767602356	15 January 2016	675000	4	3.5	2140	2278	3	No	None	Fair	9	2140	0	13	0	98107	47.6734	-122.38	1540	2285
921049315	14 August 2017	199000	3	1.75	1320	17390	1	No	None	Good	7	1320	0	62	0	98003	47.3257	-122.296	1550	19265
3655000070	14 August 2017	220000	4	1.75	2020	7840	1	No	None	Fair	7	1010	1010	50	0	98003	47.3309	-122.299	1750	8140
4027700812	14 May 2017	452000	4	2.25	2590	10002	1	No	None	Good	8	1340	1250	50	0	98028	47.7689	-122.266	1550	10436
3992700335	14 July 2017	382500	2	1	1190	4440	1	No	None	Fair	6	1190	0	37	0	98125	47.7135	-122.287	1060	5715
2767603505	14 May 2017	519950	3	2.25	1170	1249	3	No	None	Fair	8	1170	0	4	0	98107	47.6722	-122.381	1350	1310
4232901525	14 June 2017	665000	2	1	1110	3200	1	No	None	Fair	7	1110	0	93	0	98119	47.6338	-122.358	1170	3600
1777500060	14 July 2017	527700	5	2.5	2820	9375	1	No	None	Good	8	1550	1270	50	0	98006	47.5707	-122.128	2820	9375
1432900240	15 May 2016	205000	3	1	1610	8579	1	No	None	Good	7	1010	600	56	0	98058	47.4563	-122.171	1610	8579
6140100875	15 April 2016	420000	3	1	1060	8097	1	No	None	Good	7	940	120	95	0	98133	47.7144	-122.351	1560	7940
6071600370	15 February 2016	500000	4	2.25	2030	8517	1	No	None	Good	8	1380	650	57	0	98006	47.5495	-122.174	2230	8824
1526069017	14 December 2017	921500	4	2.5	3670	315374	2	No	None	Good	9	3670	0	24	0	98077	47.7421	-122.026	2840	87991
809001525	14 June 2017	890000	4	1	2550	4000	2	No	None	Fair	8	2370	180	113	0	98109	47.6354	-122.353	2200	4000
3224079105	14 August 2017	430000	2	2.5	2420	60984	2	No	None	Fair	7	2420	0	11	0	98027	47.5262	-121.943	1940	193842
8075400570	14 October 2017	258000	5	2	2260	12500	1	No	None	Good	8	1130	1130	58	0	98032	47.3887	-122.286	1360	18000
1994200024	14 November 2017	511000	3	1	1430	3455	1	No	None	Fair	7	980	450	71	0	98103	47.6873	-122.336	1450	4599
3362900810	14 August 2017	532170	3	2	1360	3090	2	No	None	Fair	8	1360	0	28	0	98103	47.6838	-122.353	1500	3090
1324300398	15 April 2016	560000	3	1	1110	5000	1.5	No	None	Fair	7	1110	0	71	0	98107	47.655	-122.359	1420	5000
537000445	15 March 2016	282950	3	1	1250	8200	1	No	None	Good	7	1250	0	64	0	98003	47.3255	-122.304	1680	8633
7855801670	15 April 2016	2.25E+06	4	3.25	5180	19850	2	No	Thrice	Fair	10	3540	1640	12	0	98006	47.562	-122.162	3160	9750
7920100045	14 May 2017	350000	1	1	700	5100	1	No	None	Fair	7	700	0	76	0	98115	47.679	-122.3	1010	5100
8960000030	14 July 2017	215000	3	1	1180	7669	1	No	None	Good	7	1180	0	51	0	98058	47.4479	-122.176	1190	7669
6388930390	14 November 2017	650000	5	3.5	3960	25245	2	No	None	Fair	9	2500	1460	22	0	98056	47.525	-122.172	2640	13675
8731900200	14 August 2017	320000	4	2.75	2640	7500	1	No	None	Fair	8	1620	1020	51	0	98023	47.3135	-122.369	1980	7875
8029200135	14 November 2017	247000	3	2	1270	7198	1.5	No	None	Fair	7	1270	0	102	2013	98022	47.2086	-121.996	1160	7198
1081200350	14 October 2017	320000	4	1.75	1760	11180	1	No	None	Good	8	1760	0	50	0	98059	47.4715	-122.118	1730	11180
84000105	14 May 2017	255000	5	2.25	2060	8632	1	No	None	Fair	7	1030	1030	56	0	98146	47.4877	-122.335	1010	11680
3756500060	15 March 2016	438000	3	1.75	1780	9660	1	No	None	Fair	7	1780	0	56	0	98034	47.7171	-122.193	1200	9660
7215720160	15 March 2016	900000	3	2.5	3400	16603	2	No	None	Fair	10	3400	0	18	0	98075	47.6012	-122.023	3400	12601
3574800520	14 June 2017	441000	3	2.75	1910	7280	1	No	None	Fair	7	1160	750	39	0	98034	47.7319	-122.224	1710	8152
2617300160	14 August 2017	420000	3	2	2020	38332	1	No	None	Good	7	1010	1010	43	0	98027	47.4582	-122.023	2110	36590
2558660270	14 December 2017	370000	3	1.75	1580	7000	1	No	None	Fair	7	1180	400	42	0	98034	47.7209	-122.168	1640	7500
2009000370	15 February 2016	269950	2	1.75	1340	7250	1	No	None	Excellent	5	700	640	69	0	98198	47.408	-122.327	1830	9750
1836980160	15 March 2016	807100	4	2.5	2680	4499	2	No	None	Fair	9	2680	0	19	0	98006	47.565	-122.125	2920	4500
3261020370	14 June 2017		3	2.5	2680	9750	1	No	None	Good	8	1610	1070	39	0	98034	47.7028	-122.231	2480	8750
1755700060	14 June 2017	371500	3	2	1370	8336	1	No	None	Excellent	7	1370	0	54	0	98133	47.7458	-122.331	1770	7288
4330600435	15 March 2016	284000	3	1.75	1560	21000	1	No	None	Fair	7	1560	0	64	0	98166	47.4776	-122.337	1070	7920
9542800700	15 January 2016	272000	3	1.75	2160	7140	1	No	None	Good	7	1670	490	40	0	98023	47.3026	-122.374	1930	7350
1999700045	14 May 2017	313000	3	1.5	1340	7912	1.5	No	None	Fair	7	1340	0	63	0	98133	47.7658	-122.339	1480	7940
1762600070	15 January 2016	917500	4	2.5	3880	35003	2	No	None	Fair	10	2570	1310	34	0	98033	47.6477	-122.182	3740	35230
1687900520	14 September 2017	673000	4	2.25	2590	8190	2	No	None	Good	8	2590	0	38	0	98006	47.5619	-122.125	2260	8335
7234600798	15 February 2016	425000	3	2.5	1120	1100	2	No	None	Fair	8	820	300	10	0	98122	47.6106	-122.31	1590	1795
3881900445	14 July 2017	399950	5	2.75	1970	5400	1	No	None	Fair	7	1320	650	32	0	98144	47.5868	-122.308	1280	2150
2254502445	14 May 2017	385000	3	1	1220	4800	1	No	None	Fair	6	1220	0	117	0	98122	47.6101	-122.307	1200	4800
5437810320	14 November 2017	269950	3	1.5	1950	7560	1	No	Twice	Good	7	1320	630	43	0	98022	47.1976	-121.999	1950	8941
9158100075	15 January 2016	330000	2	1	1350	8220	1	No	None	Fair	7	1060	290	69	0	98177	47.7224	-122.358	1540	8280
3830630310	14 July 2017	260000	3	2.5	1670	5797	2	No	None	Fair	7	1670	0	30	0	98030	47.3505	-122.179	1670	6183
8123100045	15 April 2016	470000	4	3	2380	5125	1.5	No	None	Good	7	1680	700	93	0	98126	47.5384	-122.376	1410	5375
3127200041	14 June 2017	589000	4	3	2440	9600	2	No	None	Excellent	7	2440	0	57	0	98034	47.7044	-122.2	2290	9600
6661200320	14 July 2017	163500	2	1.5	1050	3419	2	No	None	Fair	7	1050	0	22	0	98038	47.3848	-122.039	1050	3417
11510310	14 September 2017	835000	4	2.75	3130	13412	2	No	None	Fair	9	2140	990	25	0	98052	47.6993	-122.102	2260	9984
825059270	14 November 2017	1.1E+06	5	3	4090	12850	1	No	Twice	Good	10	2090	2000	32	0	98033	47.6627	-122.188	2540	10270
8731951370	15 April 2016	269000	4	1.75	1490	10000	1	No	None	Good	8	1100	390	49	0	98023	47.3099	-122.379	2190	8910
1954440060	14 May 2017	560000	3	2.5	1900	8744	2	No	None	Fair	8	1900	0	31	0	98074	47.62	-122.043	2030	8744
2264500350	15 April 2016	615000	4	1	1330	2400	1.5	No	None	Good	6	1330	0	117	0	98103	47.65	-122.34	1330	4400
1115810060	14 December 2017	585188	3	2.25	2230	10026	1	No	None	Fair	8	1430	800	43	0	98052	47.6647	-122.153	2230	9340
9477200200	14 August 2017	305000	3	1.75	1650	9480	1	No	None	Fair	7	1220	430	41	0	98034	47.726	-122.191	1540	8400
1432600560	14 November 2017	166950	3	1	1190	8820	1	No	None	Fair	6	1190	0	59	0	98058	47.4616	-122.184	1230	7980
2287000060	14 September 2017	799000	3	2.5	2140	9897	1	No	None	Good	8	2140	0	59	0	98040	47.5505	-122.219	2680	10083
3663500060	14 June 2017	400000	3	2.5	2180	7508	1	No	None	Good	7	1420	760	56	0	98133	47.7606	-122.336	1900	7818
3996900125	14 December 2017	230000	3	1	1060	10228	1	No	None	Fair	7	1060	0	70	0	98155	47.7481	-122.3	1570	10228
7796450200	14 May 2017	256883	3	2.5	1690	5025	2	No	None	Fair	8	1690	0	15	0	98023	47.2779	-122.347	2550	5001
7549802535	14 November 2017	423000	4	2	1970	6480	1.5	No	None	Excellent	7	1130	840	98	0	98108	47.5511	-122.312	1500	6480
3278600320	14 July 2017	465000	3	2.5	2150	4084	2	No	None	Fair	8	2150	0	11	0	98126	47.5488	-122.372	1750	2385
2824079053	15 January 2016	440000	3	2.5	1910	66211	2	No	None	Fair	7	1910	0	21	0	98024	47.5385	-121.911	2330	67268
